Err?=(aucune)/besoin |/:Err?=(aucune)/besoin:Réinstallation:(État,Err::majuscule=mauvais) 
Nom ||/:Nom:Version:Architecture:Description 
libextutils-pkgconfig-perl ii:libextutils-pkgconfig-perl:1.16-1.1:all:Perl:interface:to:the:pkg-config:utility 1.161.1
libfaad2:amd64 ii:libfaad2:amd64:2.10.0-1:amd64:freeware:Advanced:Audio:Decoder:-:runtime:files 2.10.01
libfakeroot:amd64 ii:libfakeroot:amd64:1.25.3-1.1:amd64:tool:for:simulating:superuser:privileges:-:shared:libraries 1.25.31.1
libfastjson4:amd64 ii:libfastjson4:amd64:0.99.9-1:amd64:fast:json:library:for:C 0.99.91
libfdisk1:amd64 ii:libfdisk1:amd64:2.36.1-8+deb11u1:amd64:fdisk:partitioning:library 2.36.18
libffi7:amd64 ii:libffi7:amd64:3.3-6:amd64:Foreign:Function:Interface:library:runtime 3.36
libfftw3-double3:amd64 ii:libfftw3-double3:amd64:3.3.8-2:amd64:Library:for:computing:Fast:Fourier:Transforms:-:Double:precision 3.3.82
libfftw3-single3:amd64 ii:libfftw3-single3:amd64:3.3.8-2:amd64:Library:for:computing:Fast:Fourier:Transforms:-:Single:precision 3.3.82
libfido2-1:amd64 ii:libfido2-1:amd64:1.6.0-2:amd64:library:for:generating:and:verifying:FIDO:2.0:objects 1.6.02
libfile-basedir-perl ii:libfile-basedir-perl:0.08-1:all:Perl:module:to:use:the:freedesktop:basedir:specification 0.081
libfile-desktopentry-perl ii:libfile-desktopentry-perl:0.22-2:all:Perl:module:to:handle:freedesktop:.desktop:files 0.222
libfile-fcntllock-perl ii:libfile-fcntllock-perl:0.22-3+b7:amd64:Perl:module:for:file:locking:with:fcntl(2) 0.223
libfile-listing-perl ii:libfile-listing-perl:6.14-1:all:module:to:parse:directory:listings 6.141
libfile-mimeinfo-perl ii:libfile-mimeinfo-perl:0.30-1:all:Perl:module:to:determine:file:types 0.301
libflac8:amd64 ii:libflac8:amd64:1.3.3-2+deb11u1:amd64:Free:Lossless:Audio:Codec:-:runtime:C:library 1.3.32
libflashrom1:amd64 ii:libflashrom1:amd64:1.2-5:amd64:Identify,:read,:write,:erase,:and:verify:BIOS/ROM/flash:chips:-:library 1.25
libflatpak0:amd64 ii:libflatpak0:amd64:1.10.7-0+deb11u1:amd64:Application:deployment:framework:for:desktop:apps:(library) 1.10.70
libflite1:amd64 ii:libflite1:amd64:2.2-2:amd64:Small:run-time:speech:synthesis:engine:-:shared:libraries 2.22
libfluidsynth2:amd64 ii:libfluidsynth2:amd64:2.1.7-1.1:amd64:Real-time:MIDI:software:synthesizer:(runtime:library) 2.1.71.1
libfolks-eds25:amd64 ii:libfolks-eds25:amd64:0.14.0-1+b1:amd64:Evolution-data-server:backend:for:libfolks 0.14.01
libfolks25:amd64 ii:libfolks25:amd64:0.14.0-1+b1:amd64:library:to:aggregates:people:into:metacontacts 0.14.01
libfont-afm-perl ii:libfont-afm-perl:1.20-3:all:Perl:interface:to:Adobe:Font:Metrics:files 1.203
libfontconfig1:amd64 ii:libfontconfig1:amd64:2.13.1-4.2:amd64:generic:font:configuration:library:-:runtime 2.13.14.2
libfontembed1:amd64 ii:libfontembed1:amd64:1.28.7-1+deb11u1:amd64:OpenPrinting:CUPS:Filters:-:Font:Embed:Shared:library 1.28.71
libfontenc1:amd64 ii:libfontenc1:amd64:1:1.1.4-1:amd64:X11:font:encoding:library 11.1.41
libfreehand-0.1-1 ii:libfreehand-0.1-1:0.1.2-3:amd64:Library:for:parsing:the:FreeHand:file:format:structure 0.1.23
libfreerdp2-2:amd64 ii:libfreerdp2-2:amd64:2.3.0+dfsg1-2+deb11u1:amd64:Free:Remote:Desktop:Protocol:library:(core:library) 2.3.0
libfreetype6:amd64 ii:libfreetype6:amd64:2.10.4+dfsg-1+deb11u1:amd64:FreeType:2:font:engine,:shared:library:files 2.10.4
libfribidi0:amd64 ii:libfribidi0:amd64:1.0.8-2+deb11u1:amd64:Free:Implementation:of:the:Unicode:BiDi:algorithm 1.0.82
libfstrm0:amd64 ii:libfstrm0:amd64:0.6.0-1+b1:amd64:Frame:Streams:(fstrm):library 0.6.01
libftdi1-2:amd64 ii:libftdi1-2:amd64:1.5-5+b1:amd64:C:Library:to:control:and:program:the:FTDI:USB:controllers 1.55
libfuse2:amd64 ii:libfuse2:amd64:2.9.9-5:amd64:Filesystem:in:Userspace:(library) 2.9.95
libfuse3-3:amd64 ii:libfuse3-3:amd64:3.10.3-2:amd64:Filesystem:in:Userspace:(library):(3.x:version) 3.10.32
libfwupd2:amd64 ii:libfwupd2:amd64:1.5.7-4:amd64:Firmware:update:daemon:library 1.5.74
libfwupdplugin1:amd64 ii:libfwupdplugin1:amd64:1.5.7-4:amd64:Firmware:update:daemon:plugin:library 1.5.74
libgail-3-0:amd64 ii:libgail-3-0:amd64:3.24.24-4+deb11u2:amd64:GNOME:Accessibility:Implementation:Library:--:shared:libraries 3.24.244
libgail-common:amd64 ii:libgail-common:amd64:2.24.33-2:amd64:GNOME:Accessibility:Implementation:Library:--:common:modules 2.24.332
libgail18:amd64 ii:libgail18:amd64:2.24.33-2:amd64:GNOME:Accessibility:Implementation:Library:--:shared:libraries 2.24.332
libgbm1:amd64 ii:libgbm1:amd64:20.3.5-1:amd64:generic:buffer:management:API:--:runtime 20.3.51
libgc1:amd64 ii:libgc1:amd64:1:8.0.4-3:amd64:conservative:garbage:collector:for:C:and:C++ 18.0.43
libgcab-1.0-0:amd64 ii:libgcab-1.0-0:amd64:1.4-3:amd64:Microsoft:Cabinet:file:manipulation:library 1.43
libgcc-10-dev:amd64 ii:libgcc-10-dev:amd64:10.2.1-6:amd64:GCC:support:library:(development:files) 10.2.16
libgcc-s1:amd64 ii:libgcc-s1:amd64:10.2.1-6:amd64:GCC:support:library 10.2.16
libgck-1-0:amd64 ii:libgck-1-0:amd64:3.38.1-2:amd64:Glib:wrapper:library:for:PKCS#11:-:runtime 3.38.12
libgcr-base-3-1:amd64 ii:libgcr-base-3-1:amd64:3.38.1-2:amd64:Library:for:Crypto:related:tasks 3.38.12
libgcr-ui-3-1:amd64 ii:libgcr-ui-3-1:amd64:3.38.1-2:amd64:Library:for:Crypto:UI:related:tasks 3.38.12
libgcrypt20:amd64 ii:libgcrypt20:amd64:1.8.7-6:amd64:LGPL:Crypto:library:-:runtime:library 1.8.76
libgd3:amd64 ii:libgd3:amd64:2.3.0-2:amd64:GD:Graphics:Library 2.3.02
libgdata-common ii:libgdata-common:0.17.13-3:all:Library:for:accessing:GData:webservices:-:common:data:files 0.17.133
libgdata22:amd64 ii:libgdata22:amd64:0.17.13-3:amd64:Library:for:accessing:GData:webservices:-:shared:libraries 0.17.133
libgdbm-compat4:amd64 ii:libgdbm-compat4:amd64:1.19-2:amd64:GNU:dbm:database:routines:(legacy:support:runtime:version) 1.192
libgdbm6:amd64 ii:libgdbm6:amd64:1.19-2:amd64:GNU:dbm:database:routines:(runtime:version) 1.192
libgdk-pixbuf-2.0-0:amd64 ii:libgdk-pixbuf-2.0-0:amd64:2.42.2+dfsg-1+deb11u1:amd64:GDK:Pixbuf:library 2.42.2
libgdk-pixbuf-xlib-2.0-0:amd64 ii:libgdk-pixbuf-xlib-2.0-0:amd64:2.40.2-2:amd64:GDK:Pixbuf:library:(deprecated:Xlib:integration) 2.40.22
libgdk-pixbuf2.0-0:amd64 ii:libgdk-pixbuf2.0-0:amd64:2.40.2-2:amd64:GDK:Pixbuf:library:(transitional:package) 2.40.22
libgdk-pixbuf2.0-bin ii:libgdk-pixbuf2.0-bin:2.42.2+dfsg-1+deb11u1:amd64:GDK:Pixbuf:library:(thumbnailer) 2.42.2
libgdk-pixbuf2.0-common ii:libgdk-pixbuf2.0-common:2.42.2+dfsg-1+deb11u1:all:GDK:Pixbuf:library:-:data:files 2.42.2
libgdm1 ii:libgdm1:3.38.2.1-1:amd64:GNOME:Display:Manager:(shared:library) 3.38.2.11
libgee-0.8-2:amd64 ii:libgee-0.8-2:amd64:0.20.4-1:amd64:GObject:based:collection:and:utility:library 0.20.41
libgeoclue-2-0:amd64 ii:libgeoclue-2-0:amd64:2.5.7-3:amd64:convenience:library:to:interact:with:geoinformation:service 2.5.73
libgeocode-glib0:amd64 ii:libgeocode-glib0:amd64:3.26.2-2:amd64:geocoding:and:reverse:geocoding:GLib:library:using:Nominatim 3.26.22
libges-1.0-0 ii:libges-1.0-0:1.18.4-2:amd64:GStreamer:editing:services:(shared:library) 1.18.42
libgexiv2-2:amd64 ii:libgexiv2-2:amd64:0.12.1-1:amd64:GObject-based:wrapper:around:the:Exiv2:library 0.12.11
libgfbgraph-0.2-0:amd64 ii:libgfbgraph-0.2-0:amd64:0.2.4-1:amd64:GObject:library:for:Facebook:Graph:API 0.2.41
libgfortran5:amd64 ii:libgfortran5:amd64:10.2.1-6:amd64:Runtime:library:for:GNU:Fortran:applications 10.2.16
libgif7:amd64 ii:libgif7:amd64:5.1.9-2:amd64:library:for:GIF:images:(library) 5.1.92
libgirepository-1.0-1:amd64 ii:libgirepository-1.0-1:amd64:1.66.1-1+b1:amd64:Library:for:handling:GObject:introspection:data:(runtime:library) 1.66.11
libgit2-1.1:amd64 ii:libgit2-1.1:amd64:1.1.0+dfsg.1-4:amd64:low-level:Git:library 1.1.0
libgit2-glib-1.0-0:amd64 ii:libgit2-glib-1.0-0:amd64:0.99.0.1-1+b1:amd64:glib:wrapper:library:around:the:libgit2:git:access:library 0.99.0.11
libgjs0g:amd64 ii:libgjs0g:amd64:1.66.2-1:amd64:Mozilla-based:javascript:bindings:for:the:GNOME:platform 1.66.21
libgl1:amd64 ii:libgl1:amd64:1.3.2-1:amd64:Vendor:neutral:GL:dispatch:library:--:legacy:GL:support 1.3.21
libgl1-mesa-dri:amd64 ii:libgl1-mesa-dri:amd64:20.3.5-1:amd64:free:implementation:of:the:OpenGL:API:--:DRI:modules 20.3.51
libglapi-mesa:amd64 ii:libglapi-mesa:amd64:20.3.5-1:amd64:free:implementation:of:the:GL:API:--:shared:library 20.3.51
libgles2:amd64 ii:libgles2:amd64:1.3.2-1:amd64:Vendor:neutral:GL:dispatch:library:--:GLESv2:support 1.3.21
libglib-object-introspection-perl ii:libglib-object-introspection-perl:0.049-1+b1:amd64:Perl:bindings:for:gobject-introspection:libraries 0.0491
libglib-perl:amd64 ii:libglib-perl:amd64:3:1.329.3-1+b1:amd64:interface:to:the:GLib:and:GObject:libraries 31.329.31
libglib2.0-0:amd64 ii:libglib2.0-0:amd64:2.66.8-1:amd64:GLib:library:of:C:routines 2.66.81
libglib2.0-bin ii:libglib2.0-bin:2.66.8-1:amd64:Programs:for:the:GLib:library 2.66.81
libglib2.0-data ii:libglib2.0-data:2.66.8-1:all:Common:files:for:GLib:library 2.66.81
libglibmm-2.4-1v5:amd64 ii:libglibmm-2.4-1v5:amd64:2.64.2-2:amd64:C++:wrapper:for:the:GLib:toolkit:(shared:libraries) 2.64.22
libglu1-mesa:amd64 ii:libglu1-mesa:amd64:9.0.1-1:amd64:Mesa:OpenGL:utility:library:(GLU) 9.0.11
libglvnd0:amd64 ii:libglvnd0:amd64:1.3.2-1:amd64:Vendor:neutral:GL:dispatch:library 1.3.21
libglx-mesa0:amd64 ii:libglx-mesa0:amd64:20.3.5-1:amd64:free:implementation:of:the:OpenGL:API:--:GLX:vendor:library 20.3.51
libglx0:amd64 ii:libglx0:amd64:1.3.2-1:amd64:Vendor:neutral:GL:dispatch:library:--:GLX:support 1.3.21
libgme0:amd64 ii:libgme0:amd64:0.6.3-2:amd64:Playback:library:for:video:game:music:files:-:shared:library 0.6.32
libgmp10:amd64 ii:libgmp10:amd64:2:6.2.1+dfsg-1+deb11u1:amd64:Multiprecision:arithmetic:library 26.2.1
libgnome-autoar-0-0:amd64 ii:libgnome-autoar-0-0:amd64:0.2.4-3:amd64:Archives:integration:support:for:GNOME 0.2.43
libgnome-autoar-gtk-0-0:amd64 ii:libgnome-autoar-gtk-0-0:amd64:0.2.4-3:amd64:GTK+:widgets:for:the:GNOME:Autoar:library 0.2.43
libgnome-bluetooth13:amd64 ii:libgnome-bluetooth13:amd64:3.34.3-2:amd64:GNOME:Bluetooth:tools:-:support:library 3.34.32
libgnome-desktop-3-19:amd64 ii:libgnome-desktop-3-19:amd64:3.38.5-3:amd64:Utility:library:for:loading:.desktop:files:-:runtime:files 3.38.53
libgnome-games-support-1-3:amd64 ii:libgnome-games-support-1-3:amd64:1.8.0-1:amd64:library:for:common:functions:of:GNOME:games 1.8.01
libgnome-games-support-common ii:libgnome-games-support-common:1.8.0-1:all:library:for:common:functions:of:GNOME:games:(common:files) 1.8.01
libgnome-menu-3-0:amd64 ii:libgnome-menu-3-0:amd64:3.36.0-1:amd64:GNOME:implementation:of:the:freedesktop:menu:specification 3.36.01
libgnome-todo ii:libgnome-todo:3.28.1-6:amd64:library:data:for:GNOME:To:Do 3.28.16
libgnomekbd-common ii:libgnomekbd-common:3.26.1-1:all:GNOME:library:to:manage:keyboard:configuration:-:common:files 3.26.11
libgnomekbd8:amd64 ii:libgnomekbd8:amd64:3.26.1-1:amd64:GNOME:library:to:manage:keyboard:configuration:-:shared:library 3.26.11
libgnutls30:amd64 ii:libgnutls30:amd64:3.7.1-5+deb11u3:amd64:GNU:TLS:library:-:main:runtime:library 3.7.15
libgoa-1.0-0b:amd64 ii:libgoa-1.0-0b:amd64:3.38.0-3:amd64:library:for:GNOME:Online:Accounts 3.38.03
libgoa-1.0-common ii:libgoa-1.0-common:3.38.0-3:all:library:for:GNOME:Online:Accounts:-:common:files 3.38.03
libgoa-backend-1.0-1:amd64 ii:libgoa-backend-1.0-1:amd64:3.38.0-3:amd64:backend:library:for:GNOME:Online:Accounts 3.38.03
libgom-1.0-0:amd64 ii:libgom-1.0-0:amd64:0.4-1:amd64:Object:mapper:from:GObjects:to:SQLite 0.41
libgomp1:amd64 ii:libgomp1:amd64:10.2.1-6:amd64:GCC:OpenMP:(GOMP):support:library 10.2.16
libgpg-error0:amd64 ii:libgpg-error0:amd64:1.38-2:amd64:GnuPG:development:runtime:library 1.382
libgpgme11:amd64 ii:libgpgme11:amd64:1.14.0-1+b2:amd64:GPGME:-:GnuPG:Made:Easy:(library) 1.14.01
libgpgmepp6:amd64 ii:libgpgmepp6:amd64:1.14.0-1+b2:amd64:C++:wrapper:library:for:GPGME 1.14.01
libgphoto2-6:amd64 ii:libgphoto2-6:amd64:2.5.27-1:amd64:gphoto2:digital:camera:library 2.5.271
libgphoto2-l10n ii:libgphoto2-l10n:2.5.27-1:all:gphoto2:digital:camera:library:-:localized:messages 2.5.271
libgphoto2-port12:amd64 ii:libgphoto2-port12:amd64:2.5.27-1:amd64:gphoto2:digital:camera:port:library 2.5.271
libgpm2:amd64 ii:libgpm2:amd64:1.20.7-8:amd64:General:Purpose:Mouse:-:shared:library 1.20.78
libgpod-common ii:libgpod-common:0.8.3-16:amd64:common:files:for:libgpod 0.8.316
libgpod4:amd64 ii:libgpod4:amd64:0.8.3-16:amd64:library:to:read:and:write:songs:and:artwork:to:an:iPod 0.8.316
libgraphene-1.0-0:amd64 ii:libgraphene-1.0-0:amd64:1.10.4+dfsg1-1:amd64:library:of:graphic:data:types 1.10.4
libgraphite2-3:amd64 ii:libgraphite2-3:amd64:1.3.14-1:amd64:Font:rendering:engine:for:Complex:Scripts:--:library 1.3.141
libgrilo-0.3-0:amd64 ii:libgrilo-0.3-0:amd64:0.3.13-1+deb11u1:amd64:Framework:for:discovering:and:browsing:media:-:Shared:libraries 0.3.131
libgs9:amd64 ii:libgs9:amd64:9.53.3~dfsg-7+deb11u2:amd64:interpreter:for:the:PostScript:language:and:for:PDF:-:Library 9.53.37
libgs9-common ii:libgs9-common:9.53.3~dfsg-7+deb11u2:all:interpreter:for:the:PostScript:language:and:for:PDF:-:common:files 9.53.37
libgsf-1-114:amd64 ii:libgsf-1-114:amd64:1.14.47-1:amd64:Structured:File:Library:-:runtime:version 1.14.471
libgsf-1-common ii:libgsf-1-common:1.14.47-1:all:Structured:File:Library:-:common:files 1.14.471
libgsf-bin ii:libgsf-bin:1.14.47-1:amd64:Structured:File:Library:-:programs 1.14.471
libgsl25:amd64 ii:libgsl25:amd64:2.6+dfsg-2:amd64:GNU:Scientific:Library:(GSL):--:library:package 2.6
libgslcblas0:amd64 ii:libgslcblas0:amd64:2.6+dfsg-2:amd64:GNU:Scientific:Library:(GSL):--:blas:library:package 2.6
libgsm1:amd64 ii:libgsm1:amd64:1.0.18-2:amd64:Shared:libraries:for:GSM:speech:compressor 1.0.182
libgsound0:amd64 ii:libgsound0:amd64:1.0.2-5:amd64:small:library:for:playing:system:sounds 1.0.25
libgspell-1-2:amd64 ii:libgspell-1-2:amd64:1.8.4-1:amd64:spell-checking:library:for:GTK+:applications 1.8.41
libgspell-1-common ii:libgspell-1-common:1.8.4-1:all:libgspell:architecture-independent:files 1.8.41
libgssapi-krb5-2:amd64 ii:libgssapi-krb5-2:amd64:1.18.3-6+deb11u3:amd64:MIT:Kerberos:runtime:libraries:-:krb5:GSS-API:Mechanism 1.18.36
libgssdp-1.2-0:amd64 ii:libgssdp-1.2-0:amd64:1.2.3-2:amd64:GObject-based:library:for:SSDP 1.2.32
libgstreamer-gl1.0-0:amd64 ii:libgstreamer-gl1.0-0:amd64:1.18.4-2:amd64:GStreamer:GL:libraries 1.18.42
libgstreamer-plugins-bad1.0-0:amd64 ii:libgstreamer-plugins-bad1.0-0:amd64:1.18.4-3:amd64:GStreamer:libraries:from:the:"bad":set 1.18.43
libgstreamer-plugins-base1.0-0:amd64 ii:libgstreamer-plugins-base1.0-0:amd64:1.18.4-2:amd64:GStreamer:libraries:from:the:"base":set 1.18.42
libgstreamer1.0-0:amd64 ii:libgstreamer1.0-0:amd64:1.18.4-2.1:amd64:Core:GStreamer:libraries:and:elements 1.18.42.1
libgtk-3-0:amd64 ii:libgtk-3-0:amd64:3.24.24-4+deb11u2:amd64:GTK:graphical:user:interface:library 3.24.244
libgtk-3-bin ii:libgtk-3-bin:3.24.24-4+deb11u2:amd64:programs:for:the:GTK:graphical:user:interface:library 3.24.244
libgtk-3-common ii:libgtk-3-common:3.24.24-4+deb11u2:all:common:files:for:the:GTK:graphical:user:interface:library 3.24.244
libgtk2.0-0:amd64 ii:libgtk2.0-0:amd64:2.24.33-2:amd64:GTK:graphical:user:interface:library:-:old:version 2.24.332
libgtk2.0-bin ii:libgtk2.0-bin:2.24.33-2:amd64:programs:for:the:GTK:graphical:user:interface:library 2.24.332
libgtk2.0-common ii:libgtk2.0-common:2.24.33-2:all:common:files:for:the:GTK:graphical:user:interface:library 2.24.332
libgtk3-perl ii:libgtk3-perl:0.038-1:all:Perl:bindings:for:the:GTK+:graphical:user:interface:library 0.0381
libgtkmm-3.0-1v5:amd64 ii:libgtkmm-3.0-1v5:amd64:3.24.2-2:amd64:C++:wrappers:for:GTK+:(shared:libraries) 3.24.22
libgtksourceview-4-0:amd64 ii:libgtksourceview-4-0:amd64:4.8.0-1:amd64:shared:libraries:for:the:GTK+:syntax:highlighting:widget 4.8.01
libgtksourceview-4-common ii:libgtksourceview-4-common:4.8.0-1:all:common:files:for:the:GTK+:syntax:highlighting:widget 4.8.01
libgtop-2.0-11:amd64 ii:libgtop-2.0-11:amd64:2.40.0-2:amd64:gtop:system:monitoring:library:(shared) 2.40.02
libgtop2-common ii:libgtop2-common:2.40.0-2:all:gtop:system:monitoring:library:(common) 2.40.02
libgucharmap-2-90-7:amd64 ii:libgucharmap-2-90-7:amd64:1:13.0.5-1:amd64:Unicode:browser:widget:library:(shared:library) 113.0.51
libgudev-1.0-0:amd64 ii:libgudev-1.0-0:amd64:234-1:amd64:GObject-based:wrapper:library:for:libudev 2341
libgupnp-1.2-0:amd64 ii:libgupnp-1.2-0:amd64:1.2.4-1:amd64:GObject-based:library:for:UPnP 1.2.41
libgupnp-av-1.0-2 ii:libgupnp-av-1.0-2:0.12.11-2:amd64:Audio/Visual:utility:library:for:GUPnP 0.12.112
libgupnp-dlna-2.0-3 ii:libgupnp-dlna-2.0-3:0.10.5-4:amd64:DLNA:utility:library:for:GUPnP 0.10.54
libgupnp-igd-1.0-4:amd64 ii:libgupnp-igd-1.0-4:amd64:1.2.0-1:amd64:library:to:handle:UPnP:IGD:port:mapping 1.2.01
libgusb2:amd64 ii:libgusb2:amd64:0.3.5-1:amd64:GLib:wrapper:around:libusb1 0.3.51
libgweather-3-16:amd64 ii:libgweather-3-16:amd64:3.36.1-3:amd64:GWeather:shared:library 3.36.13
libgweather-common ii:libgweather-common:3.36.1-3:all:GWeather:common:files 3.36.13
libgxps2:amd64 ii:libgxps2:amd64:0.3.2-1:amd64:handling:and:rendering:XPS:documents:(library) 0.3.21
libhandy-0.0-0:amd64 ii:libhandy-0.0-0:amd64:0.0.13-3:amd64:Library:with:GTK:widgets:for:mobile:phones 0.0.133
libhandy-1-0:amd64 ii:libhandy-1-0:amd64:1.0.3-2:amd64:Library:with:GTK:widgets:for:mobile:phones 1.0.32
libharfbuzz-icu0:amd64 ii:libharfbuzz-icu0:amd64:2.7.4-1:amd64:OpenType:text:shaping:engine:ICU:backend 2.7.41
libharfbuzz0b:amd64 ii:libharfbuzz0b:amd64:2.7.4-1:amd64:OpenType:text:shaping:engine:(shared:library) 2.7.41
libhogweed6:amd64 ii:libhogweed6:amd64:3.7.3-1:amd64:low:level:cryptographic:library:(public-key:cryptos) 3.7.31
libhtml-form-perl ii:libhtml-form-perl:6.07-1:all:module:that:represents:an:HTML:form:element 6.071
libhtml-format-perl ii:libhtml-format-perl:2.12-1.1:all:module:for:transforming:HTML:into:various:formats 2.121.1
libhtml-parser-perl ii:libhtml-parser-perl:3.75-1+b1:amd64:collection:of:modules:that:parse:HTML:text:documents 3.751
libhtml-tagset-perl ii:libhtml-tagset-perl:3.20-4:all:data:tables:pertaining:to:HTML 3.204
libhtml-tree-perl ii:libhtml-tree-perl:5.07-2:all:Perl:module:to:represent:and:create:HTML:syntax:trees 5.072
libhttp-cookies-perl ii:libhttp-cookies-perl:6.10-1:all:HTTP:cookie:jars 6.101
libhttp-daemon-perl ii:libhttp-daemon-perl:6.12-1+deb11u1:all:simple:http:server:class 6.121
libhttp-date-perl ii:libhttp-date-perl:6.05-1:all:module:of:date:conversion:routines 6.051
libhttp-message-perl ii:libhttp-message-perl:6.28-1:all:perl:interface:to:HTTP:style:messages 6.281
libhttp-negotiate-perl ii:libhttp-negotiate-perl:6.01-1:all:implementation:of:content:negotiation 6.011
libhttp-parser2.9:amd64 ii:libhttp-parser2.9:amd64:2.9.4-4+deb11u1:amd64:parser:for:HTTP:messages:written:in:C 2.9.44
libhunspell-1.7-0:amd64 ii:libhunspell-1.7-0:amd64:1.7.0-3:amd64:spell:checker:and:morphological:analyzer:(shared:library) 1.7.03
libhyphen0:amd64 ii:libhyphen0:amd64:2.8.8-7:amd64:ALTLinux:hyphenation:library:-:shared:library 2.8.87
libibus-1.0-5:amd64 ii:libibus-1.0-5:amd64:1.5.23-2:amd64:Intelligent:Input:Bus:-:shared:library 1.5.232
libical3:amd64 ii:libical3:amd64:3.0.9-2:amd64:iCalendar:library:implementation:in:C:(runtime) 3.0.92
libice6:amd64 ii:libice6:amd64:2:1.0.10-1:amd64:X11:Inter-Client:Exchange:library 21.0.101
libicu67:amd64 ii:libicu67:amd64:67.1-7:amd64:International:Components:for:Unicode 67.17
libidn11:amd64 ii:libidn11:amd64:1.33-3:amd64:GNU:Libidn:library,:implementation:of:IETF:IDN:specifications 1.333
libidn2-0:amd64 ii:libidn2-0:amd64:2.3.0-5:amd64:Internationalized:domain:names:(IDNA2008/TR46):library 2.3.05
libiec61883-0:amd64 ii:libiec61883-0:amd64:1.2.0-4:amd64:partial:implementation:of:IEC:61883:(shared:lib) 1.2.04
libieee1284-3:amd64 ii:libieee1284-3:amd64:0.2.11-14:amd64:cross-platform:library:for:parallel:port:access 0.2.1114
libigdgmm11:amd64 ii:libigdgmm11:amd64:20.4.1+ds1-1:amd64:Intel:Graphics:Memory:Management:Library:--:shared:library 20.4.1
libijs-0.35:amd64 ii:libijs-0.35:amd64:0.35-15:amd64:IJS:raster:image:transport:protocol::shared:library 0.3515
libilmbase25:amd64 ii:libilmbase25:amd64:2.5.4-1:amd64:several:utility:libraries:from:ILM:used:by:OpenEXR 2.5.41
libimobiledevice6:amd64 ii:libimobiledevice6:amd64:1.3.0-6:amd64:Library:for:communicating:with:iPhone:and:other:Apple:devices 1.3.06
libinput-bin ii:libinput-bin:1.16.4-3:amd64:input:device:management:and:event:handling:library:-:udev:quirks 1.16.43
libinput10:amd64 ii:libinput10:amd64:1.16.4-3:amd64:input:device:management:and:event:handling:library:-:shared:library 1.16.43
libinstpatch-1.0-2:amd64 ii:libinstpatch-1.0-2:amd64:1.1.6-1:amd64:MIDI:instrument:editing:library 1.1.61
libio-html-perl ii:libio-html-perl:1.004-2:all:open:an:HTML:file:with:automatic:charset:detection 1.0042
libio-socket-ssl-perl ii:libio-socket-ssl-perl:2.069-1:all:Perl:module:implementing:object:oriented:interface:to:SSL:sockets 2.0691
libio-stringy-perl ii:libio-stringy-perl:2.111-3:all:modules:for:I/O:on:in-core:objects:(strings/arrays) 2.1113
libip4tc2:amd64 ii:libip4tc2:amd64:1.8.7-1:amd64:netfilter:libip4tc:library 1.8.71
libip6tc2:amd64 ii:libip6tc2:amd64:1.8.7-1:amd64:netfilter:libip6tc:library 1.8.71
libipc-system-simple-perl ii:libipc-system-simple-perl:1.30-1:all:Perl:module:to:run:commands:simply,:with:detailed:diagnostics 1.301
libiptcdata0 ii:libiptcdata0:1.0.5-2.3:amd64:Library:to:parse:IPTC:metadata 1.0.52.3
libisc-export1105:amd64 ii:libisc-export1105:amd64:1:9.11.19+dfsg-2.1:amd64:Exported:ISC:Shared:Library 19.11.19
libisl23:amd64 ii:libisl23:amd64:0.23-1:amd64:manipulating:sets:and:relations:of:integer:points:bounded:by:linear:constraints 0.231
libisofs6:amd64 ii:libisofs6:amd64:1.5.2-1:amd64:library:to:create:ISO:9660:images 1.5.21
libitm1:amd64 ii:libitm1:amd64:10.2.1-6:amd64:GNU:Transactional:Memory:Library 10.2.16
libjack-jackd2-0:amd64 ii:libjack-jackd2-0:amd64:1.9.17~dfsg-1:amd64:JACK:Audio:Connection:Kit:(libraries) 1.9.171
libjansson4:amd64 ii:libjansson4:amd64:2.13.1-1.1:amd64:C:library:for:encoding,:decoding:and:manipulating:JSON:data 2.13.11.1
libjavascriptcoregtk-4.0-18:amd64 ii:libjavascriptcoregtk-4.0-18:amd64:2.38.5-1~deb11u1:amd64:JavaScript:engine:library:from:WebKitGTK 2.38.51111
